2018;2017;2016;3-year average;School name;Country;Programme name;Salary today (US$);Weighted salary (US$);Salary percentage increase;Value for money rank;Career progress rank;Aims achieved (%);Careers service rank;Employed at three months (%);Female faculty (%);Female students (%);Women on board (%);International faculty (%);International students (%);International board (%);International mobility rank;International course experience rank;Languages;Faculty with doctorates (%);Maximum course fee (local currency);Course length (months);Number enrolled 2017/18;Relevant degree;Company internships (%)
62;62;49;58;Essca School of Management;France;Essca Master in Management**;55694;55839;36;55;84;84;60;90 (86);39;51;45;57;12;82;73;44;2;98;ó18,500;22;729;No;100
63;57;61;60;Nyenrode Business Universiteit;Netherlands;MSc in Management;66906;66906;53;59;59;86;46;77 (95);25;44;29;15;25;0;59;69;0;95;ó20,500;14;123;No;4
63;66;66;65;University of Cologne Faculty of Management;Germany;MSc in Business Administration;80858;80858;38;21;50;84;85;78 (16);22;51;60;9;11;10;87;49;0;100;ó1,065;24;325;No;13
65;52;54;57;University of Edinburgh Business School;UK;MSc in Management;59490;59490;55;53;42;80;64;81 (48);41;71;40;63;97;40;52;88;0;95;£21,000;12;70;No;0
65;71;69;68;Hanken School of Economics;Finland;MSc in Economics and Business Administration;57229;55442;43;3;74;84;81;96 (87);35;50;50;16;8;10;72;54;0;93;ó25,000;27;367;No;51
67;47;56;57;Durham University Business School;UK;MSc in Management;54870;55390;58;60;64;82;40;96 (49);34;65;21;65;90;57;62;85;0;97;£19,000;12;336;No;1
68;43;45;52;Solvay Brussels School of Economics and Management;Belgium;Master in Business Engineering;56344;56371;48;5;72;83;44;70 (86);28;38;43;27;10;35;77;31;1;96;ó9,742;28;164;Yes;28
69;71;;;University of Victoria: Gustavson;Canada;Master of Global Business;48886;48886;44;66;73;79;80;59 (55);42;51;21;56;60;53;12;28;1;84;C$30,326;14;57;Yes;100
70;74;83;76;University of Bath School of Management;UK;MSc in Management;50562;50562;50;69;29;84;59;90 (76);36;66;27;64;76;20;83;93;0;100;£19,500;12;91;No;2
71;67;63;67;EM Normandie;France;EM Normandie Master in Management**;49871;50053;39;83;75;81;77;88 (74);48;50;53;32;24;27;31;35;1;84;ó18,900;28;601;No;100
72;65;65;67;NHH Norwegian School of Economics;Norway;MSc in Economics and Business Administration;67512;67173;39;14;79;86;99;95 (29);26;41;45;33;13;9;71;57;1;97;NKr1,560;22;634;Yes;9
72;80;76;76;EM Strasbourg Business School;France;MSc in Management**;52112;52078;39;57;45;82;76;90 (81);60;54;28;25;14;25;33;18;2;77;ó17,800;36;389;No;100
74;88;75;79;Alliance Manchester Business School;UK;MSc in Business Analysis and Strategic Management;53988;53988;53;86;51;81;48;87 (45);36;65;43;45;94;7;36;92;0;91;£22,000;14;95;No;84
75;63;89;76;Henley Business School;UK;MSc in Management;47474;47474;70;73;16;82;65;92 (41);49;79;36;54;90;36;67;97;0;87;£19,800;12;42;No;0
76;;;;TUM School of Management;Germany;MSc in Management and Technology;79467;79347;31;25;85;85;83;91 (18);31;32;17;20;30;6;92;50;1;100;ó0;29;448;Yes;89
77;84;;;ISCTE Business School;Portugal;MSc in Business Administration;40806;40806;51;27;21;84;62;95 (60);47;52;50;9;26;78;89;81;0;100;ó9,800;23;61;No;8
77;81;67;75;Burgundy School of Business;France;Master in Management**;49797;49641;38;77;80;77;55;93 (92);43;50;40;41;27;29;66;26;2;81;ó19,000;32;512;No;100
79;61;64;68;Leeds University Business School;UK;MSc in International Business;45082;45082;49;95;34;86;37;84 (68);38;58;64;45;88;18;61;90;0;83;£24,000;14;145;No;13
80;64;58;67;University of Strathclyde Business School;UK;Strathclyde MSc in Business and Management;52341;52341;58;67;81;82;86;91 (79);36;49;35;48;92;47;86;84;0;79;£19,000;12;37;No;30
81;70;70;74;Corvinus University of Budapest;Hungary;MSc in Management and Leadership;51406;51406;82;7;90;82;98;97 (43);44;58;11;7;8;61;81;55;1;83;Ft1,580,000;21;253;No;0
82;76;;;Singapore Management University: Lee Kong Chian;Singapore;MSc in Management;59754;59754;36;96;86;74;56;53 (91);22;58;26;62;96;53;37;86;1;98;S$41,081;12;132;No;0
83;;;;University of Ljubljana Faculty of Economics;Slovenia;International Master in Business and Organisation;36659;36659;44;2;13;84;67;76 (100);49;54;23;4;41;77;74;67;0;82;ó8,032;12;37;No;38
84;68;57;70;Universit_ Paris-Dauphine;France;Master in Management;58250;58250;26;22;99;85;50;90 (55);41;72;60;22;21;60;38;68;1;92;ó6,350;27;158;Yes;100
85;86;86;86;DCU Business School;Ireland;MSc in Management;49242;49242;44;26;91;87;90;100 (88);47;45;42;19;52;17;63;97;0;77;ó14,000;12;87;No;0
86;;;;University of Liverpool Management School;UK;Master in Management;42743;42743;98;89;41;79;66;78 (52);41;38;31;51;67;23;84;96;0;89;£18,000;12;73;No;0
87;77;71;78;BI Norwegian Business School;Norway;MSc in Business;64328;64978;34;35;100;83;61;97 (96);30;44;50;28;16;12;96;52;0;80;NKr191,000;24;320;Yes;18
88;79;74;80;University of Bradford School of Management;UK;MSc in Management;48542;48542;55;44;54;80;93;100 (43);37;39;33;41;75;17;49;95;0;84;£15,650;14;69;No;0
89;94;;;Luiss University;Italy;Master in Management;49032;49032;67;62;3;79;74;73 (74);29;54;33;15;12;89;58;46;1;71;ó22,000;25;204;Yes;100
89;;;;University of Antwerp;Belgium;Master Applied Economic Sciences: Business Economics;47631;47631;38;1;53;82;100;93 (83);34;41;18;19;18;0;85;73;0;100;ó2,890;19;208;Yes;8
91;83;80;85;University of Exeter Business School;UK;MSc in International Management;51209;51209;55;54;82;80;52;80 (47);40;34;20;46;60;20;54;87;0;82;£19,500;12;96;No;0
92;78;;;Brunel Business School;UK;MSc in Management;44584;44584;56;98;7;81;58;n/a;39;46;60;55;94;0;47;94;0;79;£15,750;16;148;No;2
93;;;;ISC Paris;France;Master in Management**;55180;55180;36;79;65;80;88;82 (76);47;66;29;25;14;7;55;38;1;80;ó29,000;30;425;No;100
94;75;60;76;La Rochelle Business School;France;La Rochelle Master in Management**;50788;51262;36;72;97;79;87;91 (65);65;65;20;52;28;55;51;7;2;71;ó26,200;27;298;No;100
95;84;78;86;Politecnico di Milano School of Management;Italy;MSc in Management Engineering;46343;45869;52;31;14;76;39;98 (72);37;36;41;10;19;59;88;64;1;79;ó7,452;30;708;No;82
96;91;88;92;Adam Smith Business School, University of Glasgow;UK;MSc in Management;37410;37410;55;99;69;80;25;80 (38);39;65;27;63;99;9;90;97;0;84;£19,500;12;326;No;0
97;93;;;Nottingham Business School at NTU;UK;MSc in Management;35288;35288;41;91;40;82;31;89 (74);44;40;29;38;87;24;76;77;0;66;£15,585;13;193;No;93
98;92;78;89;ESC Clermont;France;Master in Management**;48684;48593;35;58;88;76;95;88 (80);56;44;18;33;23;0;70;60;2;74;ó26,500;24;171;No;100
99;;;;Hong Kong Baptist University School of Business;China;MSc in Business Management;43562;43562;61;94;19;82;73;57 (88);41;69;18;18;7;36;100;91;0;92;HK$218,000;10;97;No;0
100;90;87;92;National Sun Yat-sen University;Taiwan;Master of Business Administration;40172;40172;29;38;96;77;68;77 (100);26;47;47;12;0;40;94;65;1;100;NT$166,320;27;47;No;32
