, ,2017,2016,2015,3-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted salary (US$)[2],Salary percentage increase,Value[3],Career progress rank,Aims achieved[4],Careers service rank,Employment[5],Female faculty (%),Female students (%),Wom. board[6],Intl. faculty[7],Intl. students[8],Intl. board[9],Intl. mobility[10],Intl. course[11],Languages[12],PhD Faculty[13],Maximum course fee (local currency),Prog. length[14],Number enrolled 2016/17,Relevant degree,Internships[15]
66,,67.0,63,69,66,EM Normandie,France,EM Normandie Master in Management,503104639.0,508245155.0,42.0,810.0,52.0,811.0,57.0,86 (64)8,47.0,50.0,407.0,316.0,241.0,270.0,375.0,3013.0,10.0,764.0,18380,280.0,585.0,No,1000.0
67,,68.0,-,-,-,Université Paris-Dauphine,France,Master in Management,569854993.0,569854993.0,24.0,87.0,91.0,850.0,38.0,n/a70,41.0,72.0,6217.0,211.0,2321.0,7535.0,2820.0,6726.0,10.0,943.0,1315,249.0,167.0,No,1000.0
68,,68.0,73,75,72,Warsaw School of Economics,Poland,Master in Management,480902716.0,480902716.0,89.0,195.0,29.0,832.0,86.0,93 (29)7,44.0,62.0,4332.0,10.0,163.0,11.0,706.0,753.0,10.0,983.0,Zloty 0,230.0,198.0,No,321.0
69,,70.0,70,68,69,Corvinus University of Budapest,Hungary,MSc in Management and Leadership,45853358.0,45632137.0,69.0,61.0,51.0,823.0,65.0,96 (63)1,44.0,55.0,110.0,82.0,102.0,610.0,6715.0,455.0,11.0,833.0,"Ft1,580,000",210.0,249.0,No,214.0
70,,71.0,-,-,-,University of Victoria: Gustavson,Canada,Master of Global Business,46179.0,46179.0,43.0,63.0,65.0,80.0,83.0,72 (79),40.0,58.0,22.0,58.0,67.0,67.0,40.0,14.0,1.0,88.0,"C$29,597",14.0,52.0,Yes,100.0
71,,71.0,69,67,69,Hanken School of Economics,Finland,MSc in Economics and Business Administration,522332251.0,517722029.0,33.0,512.0,72.0,821.0,82.0,97 (93)2,35.0,54.0,600.0,181.0,165.0,100.0,666.0,525.0,0.0,921.0,240,261.0,398.0,No,493.0
72,,73.0,72,74,73,Lancaster University Management School,UK,MSc in Management,441485652.0,441485652.0,51.0,668.0,56.0,872.0,28.0,79 (48)4,31.0,54.0,424.0,540.0,6326.0,428.0,7717.0,791.0,0.0,951.0,17000,121.0,46.0,No,439.0
73,,74.0,83,71,76,University of Bath School of Management,UK,MSc in Management,470406836.0,470406836.0,51.0,862.0,38.0,831.0,89.0,96 (83)1,32.0,62.0,292.0,641.0,6313.0,292.0,7812.0,823.0,0.0,1002.0,15750,120.0,86.0,No,0.0
74,,75.0,60,48,61,La Rochelle Business School,France,La Rochelle Master in Management,508664584.0,506904196.0,37.0,7313.0,82.0,801.0,67.0,85 (68)2,56.0,63.0,3319.0,502.0,181.0,502.0,603.0,52.0,20.0,694.0,21500,243.0,305.0,No,1000.0
75,,76.0,-,-,-,Singapore Management University: Lee Kong Chian,Singapore,MSc in Management,55346.0,55346.0,36.0,91.0,84.0,81.0,69.0,69 (94),22.0,60.0,24.0,66.0,93.0,53.0,25.0,81.0,0.0,95.0,"S$39,500",12.0,127.0,No,0.0
