, ,2016,2015,2014,Three-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted sal. ($)[2],Value[3],Careers[4],Aims achieved[5],Placements[6],Employment[7],Wom. faculty[8],Wom. students[9],Wom. board[10],Intl. faculty[11],Intl. students[12],Intl. board[13],Intl. mobility[14],Intl. course[15],Languages[16],PhD Faculty[17],Maximum course fee (local currency),Prog. length[18],Number enrolled 2015/16,Relevant degree,Internships[19]
56,,57.0,-,-,-,Université Paris-Dauphine,France,Master of International Business,51992.0,51992.0,15.0,65.0,85.0,26.0,70 (85),40.0,70.0,45.0,22.0,44.0,40.0,48.0,41.0,1.0,91.0,"€6,000",15.0,66.0,No,100.0
57,,58.0,49,43,508,University of Strathclyde Business School,UK,MSc in Business and Management,510271152.0,510271152.0,6119.0,3934.0,841.0,8724.0,93 (84)3,372.0,362.0,350.0,461.0,914.0,470.0,4614.0,632.0,0.0,802.0,"£17,000",120.0,53.0,No,2222.0
58,,59.0,-,-,-,Queen's University: Smith,Canada,Master of International Business,52609.0,52609.0,46.0,76.0,83.0,83.0,86 (57),31.0,56.0,24.0,49.0,80.0,44.0,28.0,46.0,0.0,99.0,"C$73,382",16.0,98.0,Yes,3.0
59,,60.0,48,64,57,La Rochelle Business School,France,La Rochelle Master in Management,462822457.0,464943294.0,8611.0,243.0,813.0,688.0,83 (74)1,556.0,609.0,142.0,485.0,173.0,4815.0,6310.0,74.0,20.0,659.0,"€20,000",272.0,293.0,No,1000.0
60,,61.0,65,52,592,"Tias Business School, Tilburg University",Netherlands,International MSc in Businsess Administration,514881668.0,514881668.0,515.0,8610.0,860.0,4625.0,92 (89)0,233.0,4712.0,3313.0,391.0,515.0,1717.0,2715.0,522.0,0.0,893.0,"€19,900",140.0,87.0,No,121.0
61,,61.0,60,66,621,Nyenrode Business Universiteit,Netherlands,MSc in Management,612954401.0,612954401.0,490.0,589.0,871.0,370.0,73 (89)3,260.0,422.0,2211.0,135.0,152.0,2211.0,739.0,6514.0,0.0,950.0,"€20,500",131.0,139.0,No,1816.0
62,,63.0,69,-,-,EM Normandie,France,EM Normandie Master in Management,456713734.0,456693623.0,8121.0,4921.0,801.0,628.0,78 (64)3,462.0,512.0,336.0,371.0,255.0,270.0,324.0,176.0,11.0,723.0,"€18,380",280.0,577.0,No,1000.0
63,,64.0,63,61,632,Leeds University Business School,UK,MSc in International Business,418051880.0,418051880.0,823.0,6312.0,900.0,355.0,86 (66)1,381.0,516.0,444.0,480.0,838.0,3317.0,654.0,837.0,0.0,891.0,"£21,000",140.0,143.0,No,146.0
64,,65.0,64,60,631,NHH Norwegian School of Economics,Norway,MSc in Economics and Business Administration,612743394.0,610293328.0,198.0,683.0,852.0,8824.0,85 (46)6,282.0,456.0,459.0,292.0,110.0,189.0,8113.0,515.0,10.0,951.0,"NKr3,120",241.0,668.0,Yes,73.0
65,,66.0,66,53,623,"University of Cologne, Faculty of Management, Economics and Social Sciences",Germany,MSc in Business Administration,706143671.0,707083671.0,253.0,918.0,833.0,802.0,70 (17)10,200.0,433.0,500.0,71.0,91.0,100.0,7912.0,692.0,1.0,880.0,"€1,023",250.0,289.0,No,138.0
